Participant_ID,Neuro_Gaze,Eye_Gaze_Hands,VR_Controllers
1.csv,0.027027027027027,0.1627906976744186,0.1627906976744186
10.csv,0.027027027027027,0.1219512195121951,0.0
11.csv,0.0526315789473684,0.3076923076923077,0.027027027027027
12.csv,0.027027027027027,0.1428571428571428,0.1627906976744186
13.csv,0.0769230769230769,0.1627906976744186,0.1
14.csv,0.0769230769230769,0.1818181818181818,0.1627906976744186
15.csv,0.0655737704918032,0.1428571428571428,0.1
16.csv,0.1219512195121951,0.2727272727272727,0.1428571428571428
2.csv,0.0526315789473684,0.28,0.217391304347826
3.csv,0.027027027027027,0.2,0.1219512195121951
4.csv,0.1,0.1,0.027027027027027
5.csv,0.1428571428571428,0.027027027027027,0.1
6.csv,0.2340425531914893,0.0769230769230769,0.0526315789473684
7.csv,0.2340425531914893,0.1,0.1627906976744186
8.csv,0.0,0.1627906976744186,0.1428571428571428
9.csv,0.0526315789473684,0.1,0.1219512195121951
