Unnamed: 0,Round Duration,Error Count,Total Eye Interactables
15,32.73227,2,12
15,22.68344,0,11
15,20.81545,1,11
15,25.42308,1,10
15,24.13101,0,12
15,27.95,1,12
15,24.58878,0,13
15,24.56712,1,12
15,21.67612,2,11
15,23.74849,0,10
