Eye_Gaze_Hands,VR_Controllers,Neuro_Gaze
15.9934283060225,7.86582518200148,31.97216
16.2953770762014,7.84838649269582,29.58683
18.0460597128161,7.8506643138509,25.2082
14.3028,8.996142,33.1432
12.43131,8.774162,36.93729
12.92966,9.026686,36.32389
15.7227912110168,7.14246358246487,22.70405
18.0760731329319,7.1095320419432,20.29213
14.9283479217801,8.61872376222379,26.94828
12.2025182367883,8.56997732388532,22.31244
14.4836304029273,8.77816971495566,31.10075
15.9219112308406,8.08044817173517,23.94973
14.3145709669465,7.87700275470532,31.66554
13.3954454615568,7.57227741772362,23.56312
14.677428576668,7.62706480334266,32.36418
17.8670309745798,7.30706127547296,27.70915
17.1315874170986,8.98713328745508,31.59748
10.0024817167226,8.4511067754212,33.05642
16.7750232288325,8.39362550737675,32.73227
14.4601324618486,7.00715877812616,22.68344
15.1312983162225,8.05522447447526,20.81545
11.7850335308775,7.91279151648877,25.42308
15.3692677170646,8.42416003120455,24.13101
15.5197655884968,8.24807060085021,27.95
16.55341,7.686588,24.58878
14.2846,7.365291,24.56712
12.6148,8.214407,21.67612
12.91588,9.062398,23.74849
11.87455,7.626289,23.34937
13.99255,7.822935,27.84745
22.96513,10.13552,28.26052
22.70432,9.896711,27.97216
15.93953,10.94395,29.58683
14.34269,15.66433,28.2082
13.65171,17.63568,40.97379
16.67652,14.90766,23.69742
13.71021,12.61269,41.72104
13.30829,10.20179,25.75308
16.03967,11.92529,23.45956
15.2218451794197,8.11227581625396,41.73496
14.4166125004134,7.04311982565236,32.68312
13.7965867755412,8.80518909986089,22.13629
15.1333145570172,7.32542945456128,35.99358
14.6474286761485,7.98475850275504,68.4381
17.4017855438991,7.42181440090901,73.60508
13.7530452100301,7.64807926196461,49.2201
11.983693420905,7.80870002998286,41.4381
17.1992939515696,7.05747601349636,43.60508
16.0167224805307,10.7804756048232,49.2201
15.5676566632476,10.5988911633004,30.1432
16.9137937869598,9.03536564572623,32.93729
13.4237658920439,11.1119969960533,29.32389
